SDAccel Timeline Trace
Generated on: 2017-07-17 22:34:39
Msec since Epoch: 1500323679242
Profiled application: host_sw
Target platform: Xilinx


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
0.367961,clGetPlatformIDs|General,START,,,,,,,,,
0.398392,clGetPlatformIDs|General,END,,,,,,,,,
0.410972,clGetPlatformInfo|General,START,,,,,,,,,
0.420005,clGetPlatformInfo|General,END,,,,,,,,,
0.433341,clGetPlatformInfo|General,START,,,,,,,,,
0.439813,clGetPlatformInfo|General,END,,,,,,,,,
0.450499,clGetDeviceIDs|General,START,,,,,,,,,
0.459695,clGetDeviceIDs|General,END,,,,,,,,,
0.469165,clCreateContext|General,START,,,,,,,,,
0.488007,clCreateContext|General,END,,,,,,,,,
0.497578,clCreateCommandQueue|General,START,,,,,,,,,
0.508781,clCreateCommandQueue|General,END,,,,,,,,,
4.491856,clCreateProgramWithBinary|General,START,,,,,,,,,
3253.715687,clCreateProgramWithBinary|General,END,,,,,,,,,
3253.740619,clBuildProgram|General,START,,,,,,,,,
3253.749349,clBuildProgram|General,END,,,,,,,,,
3253.756967,clCreateKernel|General,START,,,,,,,,,
3253.768568,clCreateKernel|General,END,,,,,,,,,
3253.775323,clCreateBuffer|General,START,,,,,,,,,
3253.797369,clCreateBuffer|General,END,,,,,,,,,
3253.803954,clCreateBuffer|General,START,,,,,,,,,
3253.811814,clCreateBuffer|General,END,,,,,,,,,
3253.817842,clCreateBuffer|General,START,,,,,,,,,
3253.826528,clCreateBuffer|General,END,,,,,,,,,
3253.834277,clEnqueueWriteBuffer|13025184,START,,,,,,,,,
3253.857128,WRITE_BUFFER,QUEUE,0XD0E410,64,,,,,,,
3253.899093,WRITE_BUFFER,SUBMIT,0XD0E410,64,,,,,,,
3253.967248,WRITE_BUFFER,START,0XD0E410,64,,,,,,,
3253.988709,WRITE_BUFFER,END,0XD0E410,64,,,,,,,
3253.990383,clEnqueueWriteBuffer|13025184,END,,,,,,,,,
3254.0058,clEnqueueWriteBuffer|13025184,START,,,,,,,,,
3254.012323,WRITE_BUFFER,QUEUE,0XD117B0,262271,,,,,,,
3254.021284,WRITE_BUFFER,SUBMIT,0XD117B0,262271,,,,,,,
3254.050989,WRITE_BUFFER,START,0XD117B0,262271,,,,,,,
3254.148652,WRITE_BUFFER,END,0XD117B0,262271,,,,,,,
3254.149398,clEnqueueWriteBuffer|13025184,END,,,,,,,,,
3254.166017,clEnqueueWriteBuffer|13025184,START,,,,,,,,,
3254.172244,WRITE_BUFFER,QUEUE,0XD11880,268500736,,,,,,,
3254.206928,WRITE_BUFFER,SUBMIT,0XD11880,268500736,,,,,,,
3254.252588,WRITE_BUFFER,START,0XD11880,268500736,,,,,,,
3296.37801,WRITE_BUFFER,END,0XD11880,268500736,,,,,,,
3296.420792,clEnqueueWriteBuffer|13025184,END,,,,,,,,,
3296.448254,clSetKernelArg|General,START,,,,,,,,,
3296.457188,clSetKernelArg|General,END,,,,,,,,,
3296.463458,clSetKernelArg|General,START,,,,,,,,,
3296.468489,clSetKernelArg|General,END,,,,,,,,,
3296.47403,clSetKernelArg|General,START,,,,,,,,,
3296.479126,clSetKernelArg|General,END,,,,,,,,,
3296.48574,clEnqueueTask|13025184,START,,,,,,,,,
